,Input Bpp (nT),Measured Bpp (nT),Measured Bpp err (nT)
0,0.11451684952287422,0.1279588876897452,0.0198400982490142
1,0.2302975050373609,0.2221964840719581,0.025952862061909
2,0.3460781605518476,0.332189705539846,0.0298651506485388
3,0.45221042810679374,0.4464508100502328,0.0345479191499412
4,0.5679910836212803,0.5609761874326459,0.0335992103685387
5,0.6837717391357669,0.6779897597164704,0.0332603869870945
6,0.7995523946502537,0.7945927717837834,0.0205485672440065
7,0.9153330501647404,0.9131071452403502,0.0321256406465602
8,1.0214653177196864,1.0290425666728795,0.021152330989062
9,1.137245973234173,1.1452623398012558,0.0346339617988078
10,1.2530266287486598,1.2600330116611094,0.0334937255899968
11,1.3688072842631465,1.377087319136751,0.0336443832653306
12,1.4845879397776331,1.49708720971752,0.0192338878730079
13,1.5907202073325792,1.6142789814920628,0.0323769674842096
14,1.706500862847066,1.7313875994705,0.0329937832610675
15,1.8222815183615528,1.8393226117315011,0.0208646866663886
16,1.918765397956958,1.9381762002430545,0.0324916972466137
32,2.034546053471445,2.04680489180268,0.0194100555173473
33,2.1406783210263916,2.158857176090472,0.0217048555089119
34,2.256458976540878,2.2687366437531704,0.0312583618600586
35,2.362591244095824,2.378122437855545,0.0325626566209519
36,2.4783718996103103,2.4830761838273685,0.0214868778711563
37,2.5941525551247975,2.5907328600507937,0.0261236641143508
38,2.709933210639284,2.700822828566157,0.0326353489278045
39,2.81606547819423,2.804497798704552,0.0355064102039978
40,2.9318461337087167,2.904897046188923,0.0311435165869156
41,3.047626789223204,3.0065825652485385,0.0308271952959534
42,3.1537590567781497,3.113876310523973,0.0315444943750792
43,3.2695397122926364,3.2068782833410823,0.0255609404834763
44,3.423913919645285,3.2820267455617795,0.0213130192299638
45,3.4914526353620694,3.3805393872935925,0.0169542031697704
46,3.5975849029170153,3.4662785253299355,0.0171053000866744
47,3.703717170471961,3.553312098161008,0.0173725239671195
48,3.8098494380269075,3.630177106738691,0.0180399637282367
49,3.9159817055818538,3.712311245821449,0.0181949405880965
50,4.0221139731368,3.79541358690674,0.0235571477696101
51,4.1282462406917455,3.880195131366327,0.0207817885836176
52,4.234378508246692,3.9651068955047073,0.027074423434533
53,4.340510775801638,4.044695812444294,0.022395281267581
54,4.446643043356584,4.131529924299223,0.0217008962794166
55,4.552775310911531,4.205659793241034,0.0249985550981827
56,4.658907578466476,4.284750794949091,0.0159133781018858
57,4.7650398460214225,4.369632541257317,0.0227607984810523
58,4.871172113576369,4.436213992840927,0.0205710640008937
59,4.977304381131314,4.510595624258848,0.0227052452923456
60,5.083436648686261,4.586471268957773,0.0173052143835821
61,5.189568916241208,4.663431375483914,0.0172486436695551
62,5.295701183796153,4.73245477431827,0.0208109318516947
63,5.4018334513510995,4.805022597665885,0.0176732476889223
64,5.507965718906045,4.876255878223081,0.0220441758756766
65,5.614097986460991,4.935556483840953,0.0173918642427505
66,5.720230254015938,5.012888165969722,0.0174018122579159
67,5.826362521570883,5.067400861667278,0.0343319381096986
68,5.93249478912583,5.134982022689703,0.0251330395882652
69,6.0386270566807765,5.200135651627223,0.0173855087234188
70,6.1447593242357215,5.266113365752886,0.0180912139136537
71,6.250891591790668,5.341196031346733,0.0211659827095645
72,6.357023859345615,5.3893521524311385,0.0209989486700918
73,6.46315612690056,5.45995972137805,0.0195803131070922
74,6.569288394455507,5.50637827692185,0.0218711079314117
75,6.6754206620104535,5.570209974870558,0.0237170434015237
76,6.7815529295653985,5.628486519185,0.019628126233536
77,6.897333585079886,5.659781240812504,0.0233948518651562
78,6.993817464675291,5.72984190109704,0.0231094196517947
79,7.099949732230237,5.786531765580027,0.0229527635068268
80,7.206081999785184,5.82319025224729,0.0251399724509059
81,7.312214267340129,5.875982974507093,0.0216640127277082
82,7.4183465348950755,5.934786196713549,0.0244784014433069
83,7.524478802450022,5.986811980016891,0.0372562309627436
84,7.630611070004967,6.040566565036913,0.0224537289658309
85,7.736743337559914,6.071920416470546,0.0293883567184977
86,7.8525239930744,6.130285407667889,0.0405630525366719
87,7.958656260629347,6.175092872595275,0.0247754057972609
88,8.064788528184291,6.2082198940974935,0.0343495306238446
89,8.170920795739237,6.269323726492529,0.023362516750098
90,8.277053063294185,6.305546570443363,0.0248895208257765
91,8.38318533084913,6.346386676288135,0.0234693367947696
92,8.489317598404076,6.39943791000599,0.0238332432919363
93,8.595449865959024,6.4517125124741606,0.023492637402975
94,8.701582133513968,6.467741487010384,0.0293753566650581
95,8.798066013109374,6.497786739154796,0.0336751958749642
96,8.913846668623862,6.556097790596607,0.0252555938810401
97,9.019978936178807,6.580496295958059,0.0264066555088052
98,9.126111203733753,6.637625843987618,0.0262049416415315
99,9.2322434712887,6.655999620180059,0.0271424173113349
100,9.338375738843645,6.6969830864809055,0.0298109148753995
101,9.444508006398591,6.756296725902414,0.034171635605114
102,9.550640273953539,6.7675941881930575,0.0347245030572844
103,9.656772541508484,6.795087108502118,0.0279201197737301
17,9.76290480906343,6.847349680442339,0.0286733562683065
18,9.859388688658834,6.884662162173988,0.028120042122881
19,9.955872568254241,6.908029633414059,0.0288855949645597
20,10.052356447849647,6.938126907544924,0.0290930087880797
21,10.148840327445052,6.968609286184029,0.0349991026227643
22,10.341808086635863,7.00576708201325,0.0324393858668154
23,10.438291966231269,7.02224386514072,0.0302575225739533
24,10.534775845826674,7.0401529915608085,0.0310226126523241
25,10.63125972542208,7.068475534450608,0.0641151182314622
26,10.727743605017485,7.094166887890343,0.0707021545668492
27,10.82422748461289,7.127510804998937,0.0314393037799528
28,10.920711364208298,7.149775657916733,0.0300541592481395
29,11.017195243803702,7.18966257810556,0.0301362557968233
30,11.113679123399107,7.215744644102858,0.0337642790554971
31,11.210163002994513,7.241940225944189,0.0301191312119376
