,Voltage p2p (V),Magnetic Field p2p (nT),Magnetic Uncertainty (nT)
0,0.1,0.08997188094589435,0.0063341118015595825
1,0.3,0.23996827163570497,0.006927641019335242
2,0.5,0.3922441704191273,0.009111659460257807
3,0.7,0.5470322082035071,0.008057538425373855
4,0.9,0.7009122411695886,0.008231689160718743
5,1.1,0.8526241767415991,0.008754012759799455
6,1.3,1.0065077222603784,0.008598910900731999
7,1.5,1.1569995147275034,0.008320257582010139
8,1.7,1.3080922424269141,0.009018097085727839
9,1.9,1.4565900289615965,0.009258395242681561
10,2.08,1.5911500466517672,0.008123230778557575
11,2.28,1.7360592336296368,0.008433760333893635
12,2.48,1.879724294116414,0.0085887518559328
13,2.68,2.026957231078693,0.00875881311127393
14,2.87,2.1692951572694175,0.009259107744781628
15,3.07,2.307689910194106,0.00837546992459945
16,3.27,2.45081500318702,0.008650725698696727
17,3.47,2.5881882305562933,0.009445983922480672
18,3.67,2.7236959516859165,0.008741314740177114
19,3.87,2.8576465554094272,0.009439916084148996
20,4.06,2.9903737713627376,0.008897038037515447
21,4.26,3.1254354407556715,0.007968731271749437
22,4.46,3.251825983893649,0.008029050089554315
23,4.66,3.3805737668852345,0.007878224304391362
24,4.86,3.50358383885652,0.009133800417849948
25,5.05,3.632121666444006,0.007663155141636728
26,5.25,3.7504518873210078,0.008627463472925785
27,5.45,3.8719793904027777,0.00857005409527745
28,5.56,3.986487416648709,0.007442087558484528
29,5.76,4.104335162084662,0.008060916717807018
30,5.96,4.219758340428732,0.007452268651412857
31,6.16,4.326392446490501,0.008170175619348812
32,6.36,4.432620336111787,0.008358863088927878
33,6.53,4.540412843370323,0.008201759172856392
34,6.74,4.644961703239374,0.007307833738272418
35,6.94,4.744526775310606,0.00767546329450877
36,7.13,4.84555313476971,0.007224817388500135
37,7.34,4.938246670140547,0.00797339103383688
38,7.52,5.0367363622685515,0.007095155673813813
39,7.71,5.127483934091536,0.00709754043971295
40,7.92,5.213737226695084,0.007647963148328297
41,8.09,5.303401819400833,0.007252702063077099
42,8.33,5.390572748024114,0.007293755663415712
43,8.48,5.473081785203574,0.006937768978138304
44,8.72,5.549286183693426,0.007364187134300407
45,8.9,5.6256325182011375,0.008227085883314451
46,9.07,5.70160522163629,0.009769565899358198
47,9.31,5.7758225683071505,0.0072221226403359545
48,9.48,5.849291659523004,0.006822186686022066
