,Voltage p2p (V),Magnetic Field p2p (nT),Magnetic Uncertainty (nT)
0,0.1,0.0805072200909621,0.006607951068446839
1,0.26,0.20341726872344695,0.009225782577115899
2,0.41,0.32721525307013216,0.005080795561292122
3,0.57,0.44993380836496316,0.0033483617772844527
4,0.73,0.573468278045848,0.0052196380148599505
5,0.89,0.6975808801202288,0.004131756725067351
6,1.05,0.8195889066027789,0.004611450978945337
7,1.2,0.9428137273629691,0.004560256854704458
8,1.36,1.0652592884752086,0.003581977924080572
9,1.52,1.1873409136801065,0.0032124396794649423
10,1.68,1.3079007966975884,0.0033954315479728793
11,1.84,1.4269958707370132,0.009616355796405568
12,1.97,1.5321051647069586,0.0040390858644139774
13,10.1,6.022748179863491,0.01847107192788405
14,10.2,6.0724005265251355,0.03526282360673443
15,10.4,6.12068907160227,0.00994491595981925
16,10.5,6.170553073849474,0.00924798194866443
17,10.7,6.219061833463674,0.030275800017950896
18,10.8,6.262698038228263,0.010588892638438959
19,11.0,6.314786004069464,0.01056539597659219
20,11.2,6.35546090076464,0.012996204538177104
21,11.3,6.4011372899672185,0.017620566870777996
22,11.5,6.441212276839696,0.011821947185925944
23,11.6,6.48030569093518,0.013088085887697724
24,11.8,6.521464597399452,0.01392543061425655
25,11.9,6.557500619783815,0.013693775846060048
26,12.1,6.599004454011108,0.03481877122342669
27,12.3,6.6300442246496285,0.013721129464485362
28,12.4,6.671660783756196,0.0398806955027881
29,12.6,6.705586505810298,0.023535172995874508
30,12.7,6.737965522611895,0.01598458638066792
31,12.9,6.775629513931331,0.043428992588695293
32,13.1,6.807570421040705,0.018166127558103307
33,13.2,6.836948923544071,0.025810188971057284
34,13.4,6.863291201713481,0.017127011127172694
35,13.5,6.896094578051035,0.017455506867997825
36,13.7,6.922459007943651,0.018695199284717443
37,13.8,6.948982231626646,0.03494422336973958
38,14.0,6.976985158886184,0.018323656636020137
39,14.2,6.997994652403709,0.02393147057513404
40,14.3,7.02420921264199,0.0605329404728543
41,14.5,7.05259747570709,0.021406321528083697
42,14.6,7.075249284574962,0.021181886468866037
43,14.8,7.098312325101062,0.027506350671205392
44,14.9,7.1184786768336386,0.02119552308255887
45,15.1,7.137634631756593,0.02681194854639037
46,15.3,7.161439219552755,0.02319833391691517
47,15.4,7.18060780943452,0.03462872470625512
48,15.6,7.19613724727922,0.024682826920882247
49,2.13,1.6493153954953468,0.005082859164856372
50,2.28,1.7666033038461992,0.004977525802253438
51,2.44,1.8863808683076508,0.01654170786518641
52,2.6,1.9994737774243638,0.004718857432988131
53,2.75,2.1128748456807505,0.004096852945443487
54,2.91,2.2276338072383153,0.00452724470730787
55,3.06,2.341640221111348,0.004425110460444814
56,3.22,2.451976135287611,0.00468564305143388
57,3.38,2.562517155570959,0.005189021319261662
58,3.44,2.610583959067011,0.007735056688571416
59,3.59,2.7106831582567383,0.00537820607141317
60,3.75,2.818443635168404,0.004553030157442573
61,3.9,2.925241327547393,0.006567863942899875
62,4.06,3.034562060211243,0.0046973863819502835
63,4.22,3.1390775816484995,0.0042628069592263625
64,4.37,3.2447689862538933,0.012869733334931018
65,4.53,3.346112936293488,0.003884498815931306
66,4.69,3.4516956963765244,0.03070462062513322
67,4.85,3.549903403128338,0.004211322348644988
68,5.0,3.6495400579087813,0.02593587489734378
69,5.16,3.7416840324603653,0.003450689198566118
70,5.32,3.8372554249146837,0.0036263520996781353
71,5.48,3.9326561942371643,0.0038505405683078296
72,5.63,4.027996968583828,0.017318657950966408
73,5.79,4.119230710920985,0.003932522233743806
74,5.95,4.21062569357603,0.024991462868624244
75,6.11,4.293969014223952,0.003655899377335687
76,6.27,4.382688560435313,0.0035842709617864505
77,6.42,4.465118345889027,0.004028253068073758
78,6.58,4.552127165620776,0.011474929702911361
79,6.74,4.633822656299793,0.004284730214088075
80,6.9,4.715116144536554,0.003931180781372018
81,7.05,4.790369096718892,0.0037903899400862744
82,7.21,4.870814469814116,0.008587647034343015
83,7.37,4.948238206362538,0.00400880118184468
84,7.53,5.021042192169363,0.0072994491736060475
85,7.69,5.0976910944218945,0.0063997308338838476
86,7.84,5.166552529873694,0.003738290606334218
87,8.0,5.234323583155135,0.005077382338245136
88,8.16,5.302967888434245,0.010868941742869747
89,8.32,5.370705890579151,0.004963736009390795
90,8.47,5.439655369526347,0.0132986087124504
91,8.63,5.504919988557506,0.039081231950195264
92,8.79,5.5635999541729575,0.005787741494372671
93,8.95,5.626234802412341,0.013256568781187937
94,9.1,5.6860433613057735,0.013743324856613242
95,9.26,5.746489531000358,0.006677761790391455
96,9.42,5.804649434258168,0.007017238819744185
97,9.58,5.862310148190817,0.016165293335794223
98,9.74,5.9167674808510515,0.007555355901902305
99,9.89,5.969309012622271,0.008027879514072366
