,Voltage p2p (V),Magnetic Field p2p (nT),Magnetic Uncertainty (nT)
0,0.01,0.03465865442901223,0.003879203581366652
1,0.03,0.060274607845221116,0.009602022086633702
2,0.05,0.09033983753302743,0.008218730198646688
3,0.07,0.12464695634217034,0.009419422167976886
4,0.09,0.16042304255463247,0.014800116819482567
5,0.11,0.19738078984006052,0.015905596859500114
6,0.13,0.23432656115494835,0.0188632650425741
7,0.15,0.2705772993435851,0.011302981962933483
8,0.17,0.3063218837497981,0.016946792658887655
9,0.19,0.3421458957265466,0.016884693477549707
10,0.21,0.378175309402108,0.010281856647859295
11,0.22,0.4142177040901936,0.010299204739231984
12,0.24,0.44989126716869615,0.016818665383750927
13,0.26,0.4863908087446137,0.010135991263930545
14,0.28,0.5225437944916494,0.010504026192429173
15,0.3,0.5588855048872519,0.017534575949492186
16,0.32,0.5955378505153742,0.010936517342678505
17,0.34,0.6309695301502484,0.018427979211701064
18,0.36,0.6669079231314804,0.016436800595042454
19,0.38,0.7020355931793246,0.016107984709462574
20,0.4,0.737926013572898,0.011108631419361057
21,0.42,0.7740372763696918,0.011212213372496352
22,0.44,0.8095469081671405,0.011438001093932629
23,0.46,0.8456744847576305,0.010860140324293142
24,0.48,0.8815963645242543,0.0118842503913914
25,0.5,0.916780243262308,0.01802061691720901
26,0.52,0.9524399885248813,0.010474957167607409
27,0.54,0.9882983251358538,0.010024437016899555
28,0.56,1.0228368668929666,0.008895533934706034
29,0.58,1.0603423785231858,0.01564078474611358
30,0.6,1.095545603669099,0.01449254624473364
31,0.62,1.1333104773211853,0.015004152268517063
32,0.64,1.1688829808482728,0.014551969728649848
33,0.66,1.2040985489326912,0.026755254801220926
34,0.68,1.2398173406085797,0.026811414212576257
35,0.7,1.275679126175393,0.015464826369004663
36,0.72,1.3110530423673388,0.029915035117720954
37,0.74,1.3465880689756091,0.015943589897474013
38,0.76,1.3823890330288053,0.026430710382841983
39,0.78,1.4177029670439227,0.026671563308729763
40,0.8,1.4534486529435586,0.016531650131510246
41,0.82,1.4895627072794468,0.017489390128610588
42,0.84,1.5246111996753637,0.016027360964632018
43,0.86,1.559991366559869,0.026387824565490162
44,0.88,1.595123500529378,0.015729857904043253
45,0.9,1.6300169332292744,0.031555589476727486
46,0.92,1.6660753324890878,0.03050644855894412
47,0.94,1.7015367862253579,0.027674363728268855
48,0.96,1.7380090857917603,0.015971409300643728
49,0.97,1.7727130385401992,0.02670687030229467
50,0.99,1.8092382011240522,0.027555977965445205
51,1.01,1.8436815084033868,0.015415650709499178
52,1.03,1.8788837358427593,0.015312986805431954
53,1.05,1.91479447134709,0.02538787276236836
54,1.07,1.950809728664979,0.0203770850698348
55,1.09,1.9855673430272045,0.027931694480504334
56,1.11,2.020270142416986,0.026599362443357383
57,1.13,2.056348610264861,0.026776885090095542
58,1.15,2.091096710740807,0.01565515009754522
59,1.17,2.126694138982829,0.02481835094681738
60,1.19,2.1622633145752377,0.026632890559055534
61,1.21,2.1969808709130647,0.026167753858868485
62,1.23,2.2320558120805822,0.02541388509889511
63,1.25,2.267323326727985,0.026348190287129414
64,1.27,2.3018788788656726,0.023073462027826026
65,1.29,2.3371990254662403,0.014347753776050767
66,1.31,2.3725751189546225,0.015119571199295063
67,1.33,2.408102838174718,0.02545971415905986
68,1.35,2.443565107591674,0.02612703470131897
69,1.37,2.477629959630684,0.015176068918868309
70,1.39,2.5129081486717793,0.02636454542321872
71,1.41,2.5483365213882174,0.025778819861404133
72,1.43,2.581630319096235,0.023354337875535806
73,1.45,2.6183163613892906,0.014784473882422924
74,1.47,2.6536917217496345,0.019104428477259933
75,1.49,2.6877734247063403,0.023753389218006505
76,1.51,2.7224031950796523,0.025593526172234992
77,1.53,2.7579288002557183,0.013602928862565804
78,1.55,2.792134860626005,0.024080079713089654
79,1.57,2.826816645121419,0.01426693765507418
80,1.59,2.8609555795821993,0.0159604655176481
81,1.61,2.896277809183711,0.009155288441455385
82,1.63,2.9297967623502625,0.01625122418938732
83,1.65,2.9667133505829177,0.02151925689264992
84,1.67,3.0017119383589326,0.027458300547187585
85,1.69,3.035161090829149,0.010512720086698967
86,1.71,3.0691707449375705,0.011451476952240188
87,1.73,3.1039521731157365,0.010873567217738776
88,1.75,3.1389776445055233,0.01781811235561953
89,1.76,3.172525920040514,0.023404681700430103
90,1.78,3.207678983678349,0.009066195268132333
91,1.8,3.2423305382326832,0.009484928839251665
92,1.82,3.277669578443491,0.019541568497588917
93,1.84,3.312327126954702,0.01557362468844014
94,1.86,3.346572417138624,0.01340120542468728
95,1.88,3.3807283191890076,0.008584443306728301
96,1.9,3.415729547605266,0.016656736179995114
97,1.92,3.449648820533763,0.009647727068987944
98,1.92,3.449173198212735,0.00982241194861374
99,1.94,3.4819528623845306,0.015230865115815062
