,Voltage p2p (V),Magnetic Field p2p (nT),Magnetic Uncertainty (nT)
0,0.12,0.7506003927411405,0.02810396176703061
1,0.16,0.9553976942552418,0.04456297912064992
2,0.19,1.1621452353350694,0.027556132920084575
3,0.23,1.3659019235242835,0.027187779156055875
4,0.27,1.5716904187025078,0.04817588545932709
5,0.31,1.7756033976052426,0.04240556823239799
6,0.34,1.9818714829771984,0.027999302961298298
7,0.38,2.187134579849354,0.04518791500797022
8,0.42,2.3904382261248207,0.04581844664129759
9,0.46,2.5940842731372427,0.025747878284612377
10,0.49,2.7977568084232325,0.027052376535159812
11,0.53,3.0015789853902675,0.05123364770978825
12,0.57,3.2109815194953906,0.04497539469141934
13,0.61,3.413048785462613,0.044062366323330646
14,0.65,3.615120284661891,0.04587305897152653
15,0.68,3.820856657021852,0.042947102725526085
16,0.72,4.026059616560852,0.027699907591664144
17,0.76,4.229422907125343,0.030450960792473548
18,0.8,4.430879647383677,0.044596666017376704
19,0.83,4.636389200439308,0.026796036389206464
20,0.87,4.839456272312762,0.04700684658127019
21,0.91,5.045199293518832,0.04703831907626746
22,0.95,5.247392898605008,0.02660033738206596
23,0.99,5.451246773277302,0.03511093664589297
24,1.02,5.65178673222474,0.0405511950183884
25,1.06,5.853949757928738,0.051229338754037554
26,1.1,6.060154135739351,0.03934501793072611
27,1.14,6.259864307607788,0.0251388475029847
28,1.17,6.466285557605811,0.024629748827982433
29,1.21,6.664759836549398,0.04291870261984347
30,1.25,6.869094749179993,0.04540795890777492
31,1.29,7.069174045988215,0.0448882699194874
32,1.32,7.275530522679353,0.0800992956079494
33,1.36,7.475867347091433,0.05689153218932481
34,1.4,7.675652720677227,0.04737538077695962
35,1.44,7.877815098089481,0.02677429389033474
36,1.48,8.07724046666633,0.02640368287359775
37,1.51,8.279962157506683,0.04216533353696714
38,1.55,8.478570235713038,0.04824378435822227
39,1.59,8.67832127564397,0.02908932240576889
40,1.63,8.876353730003844,0.02916984708581225
41,1.66,9.078481847806357,0.04400677782848058
42,1.7,9.275079490991475,0.047184756283141255
43,1.74,9.480150470699856,0.07498667264829066
44,1.78,9.66858228823845,0.026331156862050356
45,1.81,9.849063967673388,0.023460942340909962
46,1.85,9.970830444960937,0.04992731788158657
47,1.89,10.062577700634797,0.08130706295762008
48,1.92,10.099304200697016,0.0246800075855805
