,Voltage p2p (V),Magnetic Field p2p (nT),Magnetic Uncertainty (nT)
0,0.1,0.13076698,0.015138737
1,0.2,0.255367112,0.01002487
2,0.3,0.380211618,0.009975553
3,0.4,0.506245906,0.00967562
4,0.5,0.632079577,0.009390102
5,0.6,0.758375884,0.017786386
6,0.7,0.884824029,0.009740993
7,0.8,1.011286218,0.014078863
8,0.9,1.135562708,0.010103056
9,1,1.261742253,0.010022201
10,1.1,1.385991368,0.01576202
11,1.2,1.510636922,0.014933584
12,1.3,1.634942257,0.01545453
13,1.4,1.760696713,0.015469167
14,1.5,1.886910919,0.027635066
15,1.6,2.007465252,0.009417086
16,1.7,2.131026279,0.009307004
17,1.8,2.252902871,0.009580113
18,1.9,2.375796852,0.009036188
19,1.98,2.471281098,0.012053181
20,2.08,2.594141182,0.021410299
21,2.18,2.71308967,0.010018989
22,2.28,2.832155466,0.010484613
23,2.38,2.951480342,0.010358476
24,2.47,3.0691723,0.010480661
25,2.57,3.186761249,0.015753988
26,2.67,3.304367617,0.009290041
27,2.77,3.421311786,0.009715773
28,2.87,3.537421906,0.016155155
29,2.97,3.653303926,0.01052688
30,3.07,3.767372208,0.010138573
31,3.17,3.881455553,0.016836009
32,3.27,3.994782173,0.009634307
33,3.37,4.108814365,0.009704508
34,3.47,4.223443655,0.026958757
35,3.56,4.332366174,0.015361355
36,3.66,4.444130497,0.016514508
37,3.76,4.554097375,0.01753658
38,3.86,4.662842406,0.015248536
39,3.96,4.772215811,0.016594952
40,4.06,4.879486736,0.010437281
41,4.16,4.98574666,0.00991638
42,4.26,5.092936834,0.017341626
43,4.36,5.196596178,0.015277128
44,4.46,5.302670612,0.01009982
45,4.56,5.40789371,0.028568164
46,4.66,5.507911069,0.015060986
47,4.75,5.608903452,0.015790793
48,4.85,5.709709679,0.008696233
49,4.95,5.812225347,0.019517856
50,5.05,5.909415782,0.009819189
51,5.15,6.00955889,0.008813613
52,5.25,6.106650126,0.014589901
53,5.35,6.202910841,0.009020241
54,5.45,6.305217944,0.071452434
55,5.55,6.391607176,0.01967041
56,5.66,6.58062888,0.007431459
57,5.74,6.675896249,0.013747242
58,5.86,6.767967723,0.013187247
59,5.94,6.855648018,0.013301788
60,6.04,6.945731754,0.010435539
61,6.13,7.032745926,0.007865586
62,6.24,7.12496308,0.031264031
63,6.33,7.208243807,0.012575677
64,6.43,7.294042835,0.013340769
65,6.53,7.377881367,0.008599972
66,6.62,7.462245275,0.013208914
67,6.72,7.543708779,0.007446378
68,6.81,7.626265131,0.013379452
69,6.91,7.708171395,0.017439743
70,7.04,7.786122439,0.014562797
71,7.11,7.866071452,0.012883241
72,7.22,7.942982306,0.00793531
73,7.31,8.0220422,0.018228025
74,7.42,8.093460262,0.021184923
75,7.53,8.17105154,0.007415451
76,7.63,8.244637105,0.011078079
77,7.69,8.31881357,0.01055743
78,7.8,8.389953712,0.012080888
79,7.91,8.460223375,0.007196925
80,8.01,8.530220564,0.012004938
81,8.11,8.603137844,0.017246721
82,8.18,8.674962688,0.065986687
83,8.31,8.741310138,0.052976473
84,8.39,8.802220241,0.007190396
85,8.48,8.868234428,0.013254806
86,8.59,8.933260721,0.007586249
87,8.66,8.997221047,0.007075033
88,8.81,9.060905307,0.009926506
89,8.9,9.122372581,0.008154163
90,8.96,9.188836231,0.046740573
91,9.09,9.243499979,0.009984912
92,9.2,9.306899768,0.0290734
93,9.25,9.362060571,0.007846625
94,9.35,9.419188625,0.024443434
95,9.46,9.486190783,0.065975243
96,9.54,9.539278216,0.043379015
97,9.64,9.593071102,0.010337397
