,Voltage p2p (V),Magnetic Field p2p (nT),Magnetic Uncertainty (nT)
0,0.14,0.13899398579143346,0.014749400002815558
1,0.28,0.29126163113930426,0.015021096304483644
2,0.42,0.5305003209636535,0.022900545854166475
3,0.56,0.7089395309487836,0.02293114916112988
4,0.72,0.886166208367917,0.01793690920806122
5,0.86,1.06383287892008,0.01807172750263851
6,1.0,1.239409410827825,0.022080588240583014
7,1.14,1.4174013461987924,0.02255617441026653
8,1.28,1.5939281070980698,0.018090377985661894
9,1.44,1.77151290533055,0.023119082395915987
10,1.58,1.942440552736152,0.021941905053898637
11,1.72,2.118853427498301,0.017779423124599125
12,1.86,2.2974816155804465,0.017416132977927525
13,1.98,2.434434617751782,0.016823180388695173
14,2.12,2.6070704320168554,0.017662652458319696
15,2.28,2.775429688211229,0.021020266446230073
16,2.42,2.9452832419566626,0.016601262528636595
17,2.56,3.1151502007781575,0.018024409946095978
18,2.7,3.2736739462450988,0.020693847645386537
19,2.84,3.4474297774660654,0.015414040467674497
20,2.98,3.611624285945452,0.0318278428000941
21,3.12,3.7787968083951555,0.028057553773676358
22,3.26,3.947689571805059,0.01862926162707999
23,3.4,4.101809923278821,0.020301677261817554
24,3.54,4.3000678007250555,0.017389821270094277
25,3.7,4.417257734187874,0.015803699856696704
26,3.84,4.582031589816236,0.02673305340504942
27,3.98,4.744464792675802,0.01724239548673866
28,4.12,4.896072644849925,0.04011336797211438
29,4.26,5.054212978699262,0.018510217320297218
30,4.4,5.212814102372509,0.015552864668941983
31,4.54,5.35697562607086,0.01587096534101033
32,4.68,5.514130356071989,0.017998614337959743
33,4.84,5.659974053887228,0.018134285810220016
34,4.98,5.818588212258899,0.023326424913041214
35,5.1,5.963030156225539,0.01468632841660809
36,5.26,6.1087275332021465,0.016694858944601928
37,5.4,6.242412584672793,0.034793619958820625
38,5.54,6.386327792544057,0.014949344888805645
39,5.68,6.534064241329111,0.04698042217955899
40,5.82,6.668891551127834,0.014196972733502592
41,5.98,6.804569511450482,0.012998368498587232
42,6.12,6.946370316754438,0.041905717243200885
43,6.26,7.072379721485391,0.03268624834965711
44,6.4,7.208918977632372,0.0177588459659525
45,6.54,7.339867424551817,0.013151010638131141
46,6.68,7.464933881488964,0.04067057452418232
47,6.82,7.592335510697848,0.013183527800759971
48,6.96,7.719333432025748,0.015543663990067626
49,7.1,7.842949387135037,0.015442429289729791
50,7.26,7.970295953766184,0.09057452286348917
51,7.4,8.0864546507991,0.01375872304187943
52,7.54,8.203358301716003,0.01724287391182032
53,7.68,8.321000593744172,0.01638858936240648
54,7.82,8.440168940193908,0.04061640335972474
55,7.96,8.555642250637625,0.04105186515408098
56,8.1,8.662783555613501,0.012054246367969508
57,8.24,8.76065220685492,0.09202175277290632
58,8.38,8.88690879932941,0.06226843919980673
59,8.54,8.985679078806735,0.013581097717815554
60,8.68,9.090075086468648,0.01109816936027204
61,8.82,9.195842809831062,0.03174726969624243
62,8.96,9.289140336120633,0.039183953878051146
63,9.1,9.397144973911853,0.019457818718221987
64,9.24,9.48389234449039,0.009129438415061749
65,9.38,9.585914673230914,0.010797394080180853
