,Voltage p2p (V),Magnetic Field p2p (nT),Magnetic Uncertainty (nT)
0,0.14,0.143225884,0.017404002
1,0.28,0.294336488,0.017743192
2,0.42,0.53381947,0.022022776
3,0.56,0.710435985,0.017757817
4,0.72,0.887831321,0.018903115
5,0.86,1.066656856,0.018035424
6,1,1.241343447,0.022336779
7,1.14,1.418118457,0.022120809
8,1.28,1.595014581,0.02180529
9,1.44,1.772317888,0.018478601
10,1.58,1.943763,0.021953965
11,1.72,2.121621165,0.020760714
12,1.86,2.299424269,0.018287816
13,1.98,2.436464144,0.017643165
14,2.12,2.609001709,0.017839613
15,2.28,2.776587278,0.021222589
16,2.42,2.947325015,0.020493491
17,2.56,3.116552434,0.017179523
18,2.7,3.274948328,0.019053587
19,2.84,3.448295547,0.015796791
20,2.98,3.615202443,0.015848985
21,3.12,3.777602923,0.016041175
22,3.26,3.948324665,0.016612539
23,3.4,4.102992954,0.017531363
24,3.54,4.299423454,0.015026763
25,3.7,4.416993142,0.019091249
26,3.84,4.583538489,0.018585731
27,3.98,4.744528487,0.016084181
28,4.12,4.896324858,0.025470803
29,4.26,5.052551849,0.019178093
30,4.4,5.210749943,0.018197498
31,4.54,5.354639512,0.017479868
32,4.68,5.510077165,0.015466703
33,4.84,5.656522939,0.015104674
34,4.98,5.815704665,0.015411029
35,5.1,5.95799867,0.014777881
36,5.26,6.102378569,0.016420137
37,5.4,6.233289844,0.014906066
38,5.54,6.379482059,0.014918453
39,5.68,6.521697594,0.014352585
40,5.82,6.659170784,0.017259028
41,5.98,6.795059274,0.013379881
42,6.12,6.931321841,0.015726665
43,6.26,7.064716193,0.013943727
44,6.4,7.19509348,0.012756014
45,6.54,7.326541813,0.013263607
46,6.68,7.453074716,0.017208732
47,6.82,7.577494538,0.013491999
48,6.96,7.70250512,0.012889498
49,7.1,7.825697086,0.013188993
50,7.26,7.942619165,0.012600728
51,7.4,8.064449966,0.015191324
52,7.54,8.1810929,0.012550709
53,7.68,8.298845069,0.014352818
54,7.82,8.410811493,0.011781341
55,7.96,8.524789175,0.01166756
56,8.1,8.634146204,0.014010186
57,8.24,8.736337109,0.044894766
58,8.38,8.84954043,0.013581299
59,8.54,8.95275802,0.013142044
60,8.68,9.053754672,0.014525628
61,8.82,9.156467959,0.012427167
62,8.96,9.253815878,0.010051721
63,9.1,9.354988444,0.01118571
64,9.24,9.437723394,0.011040292
65,9.38,9.540805384,0.009668867
