,Voltage p2p (V),Magnetic Field p2p (nT),Magnetic Uncertainty (nT)
0,0.1,0.09017868374103026,0.006959251766148947
1,0.26,0.21078625287132693,0.006970485840548451
2,0.41,0.3325818184503288,0.009449144052483096
3,0.57,0.4550303139504843,0.008021815831446557
4,0.73,0.5781514757825423,0.00879372092178203
5,0.89,0.7016793578520588,0.00767826503011186
6,1.05,0.8241753603598866,0.0071321010176149885
7,1.2,0.947384289068769,0.007196416591614878
8,1.36,1.069317837017143,0.007681822127047666
9,1.52,1.1911222723099768,0.007537581327331557
10,1.68,1.3121112926985865,0.008469013958739733
11,1.84,1.4320426293737818,0.00740956604050411
12,1.97,1.5364486199838145,0.007751025235869115
13,10.1,5.950349391191855,0.008116008368767046
14,10.2,5.9957411122876545,0.008012034057473699
15,10.4,6.04295581084406,0.008106137900465623
16,10.5,6.089652379353842,0.007496135189982854
17,10.7,6.132570637596977,0.008796294479848832
18,10.8,6.175984014836391,0.007589677604893518
19,11.0,6.224154877724266,0.007416435709628615
20,11.2,6.261070393776709,0.00866012909829236
21,11.3,6.303498504414565,0.008460928358821646
22,11.5,6.341646041056904,0.007881751864885118
23,11.6,6.37774069795929,0.007505245755100984
24,11.8,6.416993039522984,0.007677161027522444
25,11.9,6.450082208451065,0.00866717126832591
26,12.1,6.487439766102677,0.009034703160129155
27,12.3,6.519592710859708,0.008016557235171853
28,12.4,6.555732208320952,0.00877179704311343
29,12.6,6.5910329806404215,0.007736876410117208
30,12.7,6.622704719674997,0.008028775639137075
31,12.9,6.656181602823028,0.008036871170062576
32,13.1,6.690344603430112,0.008496827399838635
33,13.2,6.71852098114189,0.01062764773037049
34,13.4,6.744936180977241,0.00861279060825152
35,13.5,6.777768871272874,0.008473360550624188
36,13.7,6.806421923698998,0.00930277778031779
37,13.8,6.831499829907374,0.009914062178506962
38,14.0,6.8630289322954106,0.009135283683074818
39,14.2,6.886010602363987,0.009694243755841528
40,14.3,6.914569891084381,0.010601692758274642
41,14.5,6.94341237517609,0.010560935811359713
42,14.6,6.968353158127738,0.009173472547255515
43,14.8,6.991497173481826,0.009372575122533361
44,14.9,7.016782015177014,0.01071754109183262
45,15.1,7.038036449354422,0.008494781709306995
46,15.3,7.066012719496891,0.011692576069039727
47,15.4,7.0872985515791616,0.012062031234313085
48,15.6,7.109997358741069,0.011799647610947813
49,2.13,1.654034177616277,0.007881573159005754
50,2.28,1.7708068187818369,0.008648393772497555
51,2.44,1.889163529842091,0.007266490208013819
52,2.6,2.0036482333520893,0.007694083028927141
53,2.75,2.1170820068635376,0.007012263196594443
54,2.91,2.231504801631898,0.0072926046138843655
55,3.06,2.346046943774168,0.007096446477022744
56,3.22,2.455738460986805,0.007691071340263082
57,3.38,2.566061190413942,0.007549794674296782
58,3.44,2.612856450931046,0.009940097812268945
59,3.59,2.7124854652764565,0.00869668881720986
60,3.75,2.8198405168469254,0.00825282062461382
61,3.9,2.926006183161437,0.007860477388364618
62,4.06,3.0356626778609996,0.0063118411328361105
63,4.22,3.1400984972330335,0.007670698024147546
64,4.37,3.245021963484899,0.0075224885924358095
65,4.53,3.34471033217063,0.007871376163633342
66,4.69,3.4478278726453526,0.007556658090042225
67,4.85,3.5476421411619032,0.007893120167734052
68,5.0,3.6436358794993513,0.006949310486572864
69,5.16,3.737260562196874,0.007778369179260524
70,5.32,3.8326670880157514,0.0065725073016129985
71,5.48,3.9266644814833813,0.00629573786178066
72,5.63,4.018993197485458,0.0073293303182555255
73,5.79,4.1106618806065205,0.006400093006603372
74,5.95,4.198983091656429,0.007136588976621202
75,6.11,4.283206730849983,0.007061414897948366
76,6.27,4.370725495909669,0.006515078556184813
77,6.42,4.451694466962986,0.007458473969191278
78,6.58,4.536039496577064,0.006475696061853438
79,6.74,4.617379149109201,0.007262383965169555
80,6.9,4.696508091549541,0.0075888617483161214
81,7.05,4.769715606704239,0.007424672878635042
82,7.21,4.849551573567005,0.00710798917759897
83,7.37,4.924298361598367,0.007376975824853301
84,7.53,4.9950624730242925,0.006526927692442789
85,7.69,5.068362602633382,0.0076657161208007986
86,7.84,5.13555691223736,0.007819001260009272
87,8.0,5.2015600340002885,0.007314543389932076
88,8.16,5.266374130889735,0.007299206740459815
89,8.32,5.332116581672846,0.007290931677530667
90,8.47,5.397447912476832,0.00797674985006297
91,8.63,5.458175809500446,0.007932358489371637
92,8.79,5.516481390295102,0.007613649808765499
93,8.95,5.578708257478029,0.007350310307536403
94,9.1,5.632879546138359,0.006819680045289012
95,9.26,5.691539369504272,0.00709597914888568
96,9.42,5.746904395963486,0.007276906035897608
97,9.58,5.799664893507648,0.00747470861964756
98,9.74,5.85225986571891,0.007762009648600912
99,9.89,5.901486935233577,0.007552217417253248
