,Voltage p2p (V),Magnetic Field p2p (nT),Magnetic Uncertainty (nT)
0,0.1,0.07834035900651017,0.005076869696220674
1,0.1,0.07780089033029824,0.0031230708819735865
2,0.3,0.23259885424354992,0.003416450057021578
3,0.5,0.3875678954356306,0.003950703089651234
4,0.7,0.5428287644022266,0.0025973924891442993
5,0.9,0.6971789724853805,0.003412667829876372
6,1.1,0.8498278902180123,0.003422720115596604
7,1.3,1.003711113945127,0.004807009133551371
8,1.5,1.1559299071219766,0.012142508332380324
9,1.7,1.3062233529353762,0.003913233208905006
10,1.9,1.4549159301421857,0.004447727744150701
11,2.08,1.5892953994559507,0.004836669628991899
12,2.28,1.7346796427969622,0.0038425335858358026
13,2.48,1.878603288960387,0.0038990723639577636
14,2.68,2.0290519788723387,0.02465192204911868
15,2.87,2.168554222748487,0.004667324215768836
16,3.07,2.3075199902319867,0.004506122965525379
17,3.27,2.4518699363096976,0.011244549324103107
18,3.47,2.5906014681851257,0.018100823452820134
19,3.67,2.7246582470407277,0.005195948896379359
20,3.87,2.8590383836860696,0.005009594339831902
21,4.06,2.992326570329167,0.004948641635468712
22,4.26,3.127762641559533,0.0048538736343031845
23,4.46,3.2548401153201167,0.004335620603594806
24,4.66,3.389750121159065,0.04274249691811485
25,4.86,3.508238065690052,0.005207442799275405
26,5.05,3.638928407900591,0.014234456430772898
27,5.25,3.756808058508076,0.0050790972227002604
28,5.45,3.878880965418215,0.004636883390635661
29,5.56,3.9987141115475326,0.03137119954481436
30,5.76,4.1170118230221044,0.02734955550069075
31,5.96,4.2302723744296715,0.004774112065821295
32,6.16,4.340866365162537,0.02310497232797651
33,6.36,4.449158335135509,0.026736311016598818
34,6.53,4.554806683894097,0.006036308661437901
35,6.74,4.661705145090748,0.0044125274510293045
36,6.94,4.763076855238985,0.0052934137523795504
37,7.13,4.865595150881086,0.005382698020599575
38,7.34,4.9607802517857325,0.006167033957542892
39,7.52,5.061082127350002,0.0050288049550000075
40,7.71,5.159201262884749,0.04243978640940333
41,7.92,5.243178768900287,0.007418308362571338
42,8.09,5.334401704932507,0.004939219872918955
43,8.33,5.4228255094103455,0.005384956456973968
44,8.48,5.509238857366071,0.005590523483331224
45,8.72,5.5879572858138555,0.005048662860937434
46,8.9,5.672018679508142,0.04390516188307661
47,9.07,5.743101021421473,0.02595135289745965
48,9.31,5.82292077316739,0.0057016848639262815
49,9.48,5.903856734483603,0.034217489952038826
