,Voltage p2p (V),Magnetic Field p2p (nT),Magnetic Uncertainty (nT)
0,0.1,0.07619000233732996,0.0006784272271187042
1,0.1,0.0775715103844334,9.969861705857164e-05
2,0.3,0.23069255202737385,0.0014529293451907305
3,0.5,0.38678514848039824,0.001445054778172692
4,0.7,0.5376083756973918,0.003914397973421933
5,0.9,0.6968546035995932,0.002811571696688917
6,1.1,0.8472871997432281,0.004554993512194492
7,1.3,1.0005586374579833,0.005458052998026839
8,1.5,1.1462061301583675,0.006974149661851801
9,1.7,1.3074930320290947,0.0049418077262096995
10,1.9,1.4429806537887722,0.009717301299444146
11,2.08,1.5839115232512662,0.007593283505807136
12,2.28,1.7199594476748399,0.013548919733312544
13,2.48,1.8677364145157531,0.0126733467980221
14,2.68,2.02046995931625,0.012381982553539485
15,2.87,2.1687486366834006,0.011344470397215135
16,3.07,2.292486124323219,0.017423757923594557
17,3.27,2.4316986734419643,0.019778189535652087
18,3.47,2.5712579151488737,0.019728107624146885
19,3.67,2.7347566164648263,0.012483974561423814
20,3.87,2.840502232184219,0.022153081449274206
21,4.06,3.006758854087808,0.011634290090713366
22,4.26,3.1420147903099744,0.01516493985713659
23,4.46,3.2599114278322547,0.019471015975883074
24,4.66,3.3906620008263615,0.021149164827600285
25,4.86,3.4969498728260824,0.028321141493779078
26,5.05,3.642450331394993,0.024923520053508737
27,5.25,3.765204995807525,0.025060134675084098
28,5.45,3.9042840424146514,0.02148047145177256
29,5.56,4.004822819699654,0.02843464041505099
30,5.76,4.150658127243677,0.017412213221278422
31,5.96,4.267371068295375,0.018884356220959034
32,6.16,4.363816471471986,0.029124030079865287
33,6.36,4.4922400838533685,0.02432712312245201
34,6.53,4.622568882699647,0.018527756497950656
35,6.74,4.694563507818391,0.03264556005551761
36,6.94,4.830781539772438,0.018867428019187366
37,7.13,4.898357367557136,0.03388034786876108
38,7.34,5.044713480205572,0.02197859352314495
39,7.52,5.097213009036641,0.037715390074328295
40,7.71,5.205985376697743,0.03256219385490364
41,7.92,5.345238073049149,0.02223908452850511
42,8.09,5.385005565480624,0.04121986289958188
43,8.33,5.529306033400587,0.025498728085055822
44,8.48,5.572908108050771,0.04108431648162431
45,8.72,5.668050836005346,0.037142130040935084
46,8.9,5.743398360542723,0.042115814079059816
47,9.07,5.875868725009694,0.021572050755777086
48,9.31,5.893571370450155,0.04602436052279465
49,9.48,6.008825048070104,0.03669057494614172
