,Voltage p2p (V),Magnetic Field p2p (nT),Magnetic Uncertainty (nT)
0,0.1,0.07679422863839355,0.0003933361388172412
1,0.1,0.07757913820890018,9.129364582268958e-05
2,0.3,0.23200093933278768,0.0006426240509026573
3,0.5,0.388012016138391,0.00033757104969066326
4,0.7,0.5411228954996375,0.0020116250080477772
5,0.9,0.6991687435784694,0.0004709957151003114
6,1.1,0.851312355004908,0.0016352988862774205
7,1.3,1.0053806432266446,0.0019471335529101048
8,1.5,1.152441056960884,0.0038435248228405345
9,1.7,1.3115654508482666,0.0008818579720149885
10,1.9,1.4516310017762648,0.00563815578811893
11,2.08,1.5907189622320015,0.0036943298104548036
12,2.28,1.7320944399695843,0.007376728561960452
13,2.48,1.879115393712405,0.006443134929762638
14,2.68,2.0315497108421066,0.0052106435677225366
15,2.87,2.178742731968981,0.003841634652032846
16,3.07,2.308107773784974,0.0093248336890724
17,3.27,2.449345692487973,0.011308075096159904
18,3.47,2.588829096463784,0.011438351794927972
19,3.67,2.7453941230383325,0.003051465790221303
20,3.87,2.860129441770537,0.013319709814856997
21,4.06,3.01675846305865,0.003173851405619622
22,4.26,3.1551459838562854,0.004322733065253194
23,4.46,3.2773610180787234,0.00845916103145927
24,4.66,3.4096140371533177,0.00921728737082559
25,4.86,3.5222127890945156,0.01618586712001124
26,5.05,3.6648501149194948,0.01202257427766437
27,5.25,3.7877302316233123,0.01222236849957659
28,5.45,3.9233197689398582,0.007844619237003225
29,5.56,4.030375205222511,0.01450476959235267
30,5.76,4.166058808707847,0.006466141065592962
31,5.96,4.284193851975065,0.007708322076621754
32,6.16,4.389974233994927,0.013746142722504344
33,6.36,4.5137666058387484,0.008747842078218689
34,6.53,4.6378008513206,0.0031503164090935136
35,6.74,4.723903736769555,0.016441756730590087
36,6.94,4.847276582965663,0.006098082608533002
37,7.13,4.928533993001875,0.019585652750915637
38,7.34,5.06322017190007,0.004718661697568112
39,7.52,5.130728265327301,0.022237359558569543
40,7.71,5.235037915501084,0.018509123320756587
41,7.92,5.363765901160935,0.0042571567839586565
42,8.09,5.4218307745198135,0.023237625862133033
43,8.33,5.551243009879108,0.0066764850065072455
44,8.48,5.609688237437635,0.022709242455780147
45,8.72,5.701433435888862,0.01888010051211567
46,8.9,5.781219778475533,0.021834820716496423
47,9.07,5.894191721828191,0.005119254382947675
48,9.31,5.934472007777044,0.027170063880209785
49,9.48,6.0417382056141555,0.015945944877555154
