,Voltage p2p (V),Magnetic Field p2p (nT),Magnetic Uncertainty (nT)
0,0.1,0.24082970280892838,0.034359359603876385
1,0.3,0.5577952439169421,0.04500372800970432
2,0.5,0.907225752882327,0.04491923484904196
3,0.7,1.259248026579449,0.04818945443068465
4,0.9,1.611423164629917,0.030044571801163808
5,1.1,1.9649178833126735,0.030431293619576087
6,1.3,2.315380206846746,0.03192391127042186
7,1.5,2.666449744066746,0.048510546984618694
8,1.7,3.014441857179392,0.031300177020598605
9,1.9,3.3613442775203466,0.029679283860758337
10,2.08,3.6661391556021266,0.04648454746950913
11,2.28,4.002286903768611,0.04869352839897637
12,2.48,4.338153473072099,0.04681963264053291
13,2.68,4.668456935727876,0.046363149902462555
14,2.87,4.997406636228043,0.04499989384001829
15,3.07,5.321300000749946,0.029863096812280925
16,3.27,5.645403046000807,0.043158790461412966
17,3.47,5.96129356316213,0.04416830593763003
18,3.67,6.276611275524258,0.04371127488234912
19,3.87,6.586280458841688,0.027525733637380166
20,4.06,6.89155544880197,0.04152774555770317
21,4.26,7.190430541398172,0.02771363571417274
22,4.46,7.489850319070306,0.04103697217410507
23,4.66,7.781521245317545,0.040069683079966514
24,4.86,8.067781464993615,0.03921321529386276
25,5.06,8.349746476165015,0.039889802579251774
26,5.25,8.628094160108926,0.03877233900744753
27,5.45,8.898287300935916,0.024895845280905913
28,5.56,9.164035920616534,0.03751075286090252
29,5.78,9.430363942488587,0.03724866790077172
30,5.95,9.672656670297341,0.020366389770266263
31,6.15,9.80095388438773,0.01072588455297935
32,6.35,9.80836837792949,0.0009832372795200335
33,6.53,9.808907836651821,0.000851605571954166
34,6.73,9.809001161040163,0.0009592451960793575
35,6.93,9.809409319925651,0.0011205159826621848
36,7.15,9.809611982576072,0.0009057994719304394
37,7.31,9.809552946631952,0.0009784811595999305
38,7.51,9.809656238479675,0.0009351015435761653
39,7.71,9.809734354392704,0.0012436609960691822
40,7.9,9.80985025517184,0.001142977248748798
41,8.1,9.809820017368674,0.0009563649063815771
42,8.28,9.80995863938122,0.0012391837041681004
43,8.48,9.809820009745378,0.0012250580991086427
44,8.68,9.809803715200804,0.0011847932662874333
45,8.9,9.810016549748482,0.0009924591213433525
46,9.11,9.810145074705618,0.0012190247665777548
47,9.29,9.810233205097628,0.0013664211222290147
48,9.46,9.810172770139602,0.0009458512794242237
