,Voltage p2p (V),Magnetic Field p2p (nT),Magnetic Uncertainty (nT)
0,0.1,0.488750787005494,0.04575569544409907
1,0.17,0.8921169806624974,0.04867069875361434
2,0.25,1.3126528942376705,0.052715786956950256
3,0.33,1.744540205822156,0.05431357694956899
4,0.41,2.176644236200083,0.05734445932888804
5,0.49,2.603493026113441,0.03352130062136757
6,0.57,3.032788617832779,0.033821414875442345
7,0.65,3.466760798630685,0.03256890145337658
8,0.72,3.897104413389401,0.05889542854071175
9,0.8,4.329195102641538,0.03573804479919723
10,0.88,4.757904892436674,0.033340096575007375
11,0.96,5.186050490403412,0.03201688295816827
12,1.04,5.617834189866122,0.033198238197755775
13,1.12,6.042692169570185,0.0702205352134488
14,1.19,6.46577515173298,0.03743096826238902
15,1.27,6.886498917520051,0.06331317727428361
16,1.35,7.313244325920217,0.05932246288402023
17,1.43,7.735232941788284,0.0605315790829446
18,1.51,8.149901956971348,0.06084678673306602
19,1.59,8.575502270261593,0.05967530183178846
20,1.66,8.98635411336001,0.034926760362530423
21,1.74,9.404750508302902,0.06124103668089827
22,1.82,9.805690313296532,0.02941751700496499
23,1.9,10.050137040968322,0.0199019387029514
24,1.96,10.156475187342192,0.01895360744641551
25,2.03,10.261379386973413,0.02825507010817964
26,2.11,10.321026001732136,0.03377253992033273
27,2.19,10.360490625836876,0.03873215683267414
28,2.27,10.357857439211655,0.04850231892315536
29,2.34,10.377579301555166,0.053124207778418135
30,2.42,10.368136287209467,0.05954207569509699
31,2.5,10.352738898413271,0.06589298808527742
32,2.58,10.35728338103526,0.08008282292993871
33,2.66,10.38476373885973,0.16912173402679312
34,2.73,10.40174419310595,0.1329766567230773
35,2.81,10.413275857408067,0.1730097806730851
36,2.89,10.432982725821706,0.19762635423920918
37,2.97,10.482469195898757,0.23891642455628667
38,3.04,10.453944371934703,0.2621997430987371
39,3.12,10.492966364163191,0.29193320962311115
40,3.2,10.57833333900734,0.3183714155502496
41,3.28,10.568415842121297,0.3249824526781565
42,3.35,10.636735084983654,0.3804677467636226
43,3.44,10.658081453756704,0.33159190264685034
44,3.5,10.620123015531563,0.43236863944333476
45,3.57,10.710702423807025,0.42412100708937117
46,3.65,10.696892405358176,0.41943866472740726
47,3.72,10.657582253113832,0.44940337496058064
48,3.79,10.770879522684108,0.48666980384622305
49,3.87,10.716057587615907,0.49575156199313664
50,3.94,10.755771824732188,0.47071542426761637
51,4.01,10.865434917407688,0.496461522614472
52,4.09,10.97541835122392,0.5171078015950947
53,4.16,10.833056769645186,0.5183117850945302
54,4.23,10.885770553822834,0.5390432515870672
55,4.31,10.902201347794028,0.5350086416620204
56,4.38,10.81171970232431,0.5232790966039063
57,4.46,10.849006821304684,0.5284357670376495
58,4.53,10.971336776965426,0.568244828221948
59,4.6,10.96214530421748,0.5207673164287585
60,4.68,10.892308147703538,0.5979300792589988
61,4.75,10.916683130578209,0.5442099770962359
62,4.82,11.035385662455028,0.6015072473256982
63,4.9,10.973555000557381,0.5759216552313556
64,4.97,10.91785105544482,0.5833155961105947
65,5.04,10.98722199731122,0.586900925152049
66,5.12,11.115580909946026,0.5963796399444887
67,5.19,11.11457864940596,0.5850889778225158
68,5.27,11.003128309745914,0.5725367686141717
69,5.34,11.086457420663093,0.5508102878259508
70,5.41,11.070432614592407,0.5978305688249139
71,5.49,11.07700067619743,0.5891133871515317
72,5.56,11.106715554507117,0.5717773830347535
73,5.63,11.108074679571395,0.6016830115060562
74,5.71,11.041894594862834,0.5479115173790101
75,5.78,11.023687656581806,0.5671272949251293
76,5.86,11.116515961340761,0.6274375320317138
77,5.93,11.114455698481423,0.5961659212182868
78,6.01,11.086175287329542,0.5476308760762858
79,6.08,11.108549194252822,0.5925602399653389
80,6.15,11.127526641435331,0.5903791140494047
81,6.23,11.05704169610629,0.5607229085340997
82,6.3,11.099026954385574,0.5908215487452255
83,6.37,11.147735815162145,0.5637445951158508
84,6.45,11.112736852517985,0.5594266722377934
85,6.52,11.055036208383612,0.544291087642121
86,6.59,11.171316644999061,0.5975538459843
87,6.67,11.15068855813168,0.5889200264616276
88,6.74,11.118502133243332,0.549692736131386
89,6.82,11.173305664378855,0.5604061351899182
90,6.89,11.075839389039512,0.5781712853198939
91,6.96,11.123944593372531,0.6231125452276427
92,7.04,11.21327470087767,0.6193118708020706
93,7.11,11.0942822582691,0.550176323997823
94,7.19,11.20340951886924,0.5505701074343125
95,7.26,11.1591442023948,0.5537203568440938
96,7.33,11.225803285729212,0.6436805878202592
97,7.41,11.152465735633,0.575213431100993
98,7.48,11.24698442208576,0.5625846084379259
99,7.55,11.158594162728273,0.5737172645959344
100,7.63,11.158083427930121,0.5313980604097042
101,7.7,11.188442654958942,0.5630986723262992
102,7.77,11.182332324658093,0.5345367263258047
