,Voltage p2p (V),Magnetic Field p2p (nT),Magnetic Uncertainty (nT)
0,0.1,0.20484280874926133,0.04040334408052064
1,0.3,0.5526609044759473,0.04904419273873005
2,0.51,0.90905306660084,0.04990059975343012
3,0.71,1.2673398921265147,0.04936194253227392
4,0.92,1.620774879269995,0.0318063162921589
5,1.12,1.9814826392616447,0.047824797769990116
6,1.32,2.3352140272262063,0.05132013705208679
7,1.53,2.6914432273365585,0.05813757306406879
8,1.73,3.04477074021212,0.049263014687058494
9,1.93,3.395194884282481,0.05745561308347655
10,2.11,3.7052256732893345,0.05016587788645418
11,2.32,4.045423213361297,0.057879060663678185
12,2.52,4.387446221025126,0.05408831120587207
13,2.72,4.7265498421653405,0.05466234138193011
14,2.92,5.060227499529929,0.053098278456490317
15,3.12,5.392766804326676,0.04686123177770151
16,3.32,5.719465315173859,0.05352923711082275
17,3.52,6.04653037744125,0.04567391793013846
18,3.72,6.368768789374217,0.05113189808235756
19,3.92,6.687423333583897,0.054142586858891194
20,4.13,7.002810763620517,0.053982583901977306
21,4.33,7.313288879554274,0.04564557669084761
22,4.53,7.6196494161051,0.045507643682047655
23,4.73,7.919546952133136,0.045876540776868195
24,4.93,8.218941896205372,0.045546644428985546
25,5.13,8.513757600789626,0.04930451147963849
26,5.33,8.803541627028746,0.042368068021940875
27,5.53,9.089227790423726,0.04846840764590417
28,5.66,9.367432208250248,0.04789003813761792
29,5.84,9.64666244745658,0.046256201251821845
30,6.04,9.800928804878453,0.010136124278725879
31,6.24,9.80746192846067,0.0010785777673127132
32,6.45,9.80785494662918,0.0009919376845137552
33,6.66,9.808000333478237,0.00076671985010053
34,6.84,9.808322484768814,0.001110293409889769
35,7.03,9.808943087410539,0.0009853056481454808
36,7.26,9.80910484628091,0.0010241600323006854
37,7.45,9.808749243558227,0.0007510179861222445
38,7.62,9.809491156466777,0.0010061293822508678
39,7.82,9.809506658908008,0.0009997993192417864
40,8.04,9.809586191097496,0.0010026152979068308
41,8.21,9.809700430145522,0.0008241648737269316
42,8.41,9.809623999038928,0.0007921473612307998
43,8.6,9.809744585698573,0.0007773634324712966
44,8.84,9.809862215910265,0.0007563442513628499
45,9.04,9.809776260358937,0.0010041887741781951
46,9.24,9.809406611721053,0.0010209971281155419
47,9.42,9.809336201696006,0.0009982240771723285
48,9.6,9.809278134591482,0.0008088947233143843
