,Voltage p2p (V),Magnetic Field p2p (nT),Magnetic Uncertainty (nT)
0,0.1,0.13180981135684838,0.0051694542231501255
1,0.2,0.266377971860361,0.00932655851782846
2,0.3,0.3991635218658617,0.013624353113743088
3,0.4,0.5324965696645103,0.01903853134030347
4,0.5,0.6650757293173598,0.023706423650832413
5,0.61,0.8000587115943112,0.03156226070692592
6,0.71,0.9326880441221899,0.03660988600864808
7,0.81,1.0657406793465152,0.04204478926388223
8,0.91,1.197756127105,0.04894872705968396
9,1.01,1.3298380360136415,0.043184914633106405
10,1.11,1.4611316393896543,0.051143475875838146
11,1.21,1.592461083272678,0.05597651211944592
12,1.31,1.7244877714130036,0.062556970341762
13,1.41,1.862130501023105,0.09232103277655222
14,1.51,1.9848855068676992,0.06639373245293008
15,1.62,2.115009774690955,0.07526010582464426
16,1.72,2.242614809739887,0.07445846162381244
17,1.82,2.3706115501168528,0.08353558367485547
18,1.92,2.496041654215881,0.08921724811263332
19,2.02,2.599297533316787,0.10764927986748446
20,2.12,2.7247667681204732,0.11711795235265711
21,2.22,2.8454291166499117,0.09982548834152924
22,2.32,2.9737975605395657,0.12541023546314056
23,2.42,3.100687375794186,0.1398214105297495
24,2.52,3.2222433215951862,0.13885382341312608
25,2.63,3.3500935757043444,0.16571575213441644
26,2.73,3.4579956924845554,0.11349382094044036
27,2.83,3.5839284398701934,0.14546162589798353
28,2.93,3.6970986995913115,0.12122693425602621
29,3.03,3.8177845629324056,0.12595419182073794
30,3.13,3.9511753608800686,0.19375630608908678
31,3.23,4.055651131659473,0.14940834063636926
32,3.33,4.170028984160381,0.14107501507388118
33,3.43,4.290186577647449,0.1617033967729886
34,3.53,4.398014448406697,0.1513015845897734
35,3.64,4.5156837092235955,0.1515098769966195
36,3.74,4.6354923791362435,0.18420492348632972
37,3.84,4.739267742238652,0.16331345579356563
38,3.94,4.85522661977766,0.1773277439665744
39,4.04,4.972301649054443,0.20845501963950683
40,4.14,5.07785728174534,0.1936671493613897
41,4.24,5.182853076791902,0.19099877288139688
42,4.34,5.309188345706908,0.24926200781337957
43,4.44,5.3995845344292075,0.18883838257688626
44,4.54,5.499425843247138,0.17586565431696824
45,4.65,5.608888579098957,0.1833035652898098
46,4.75,5.712470324027607,0.19251879307980949
47,4.85,5.825063690065868,0.2303726003756534
48,4.95,5.913311515084787,0.18811195913051276
49,5.05,6.026130126667498,0.2287540915928516
50,5.15,6.124824372523434,0.23749775259724837
51,5.25,6.21807717307287,0.22402985805487113
52,5.35,6.312498302390102,0.21279414730905838
53,5.45,6.420064306040094,0.2593063920843072
54,5.56,6.497070806139195,0.21353230723807093
55,5.66,6.599152348358637,0.24145420976095017
56,5.76,6.688705316825093,0.21751115327304188
57,5.86,6.782172008573294,0.21895880963205167
58,5.96,6.885510584613125,0.25602175780634495
59,6.06,6.983314196770601,0.29423519709170265
60,6.16,7.056880528526513,0.23059327587237205
61,6.26,7.157484503654632,0.28208446607263643
62,6.36,7.248248836458048,0.2984207981844719
63,6.46,7.333919202092983,0.3013395813793275
64,6.57,7.405993161236947,0.2402804029287991
65,6.67,7.488502952622581,0.24908218733598383
66,6.77,7.5871705746280425,0.31354890783823414
67,6.87,7.670989865915974,0.3045930570547061
68,6.97,7.755042950810081,0.31206161414513006
69,7.07,7.83364989394684,0.3220174000265841
70,7.17,7.923074507838133,0.36465953822478975
71,7.27,7.988869922835787,0.3112415017440664
72,7.37,8.05293614411032,0.27621902316753194
73,7.47,8.12821632128292,0.2653444376628196
74,7.58,8.221901623452483,0.33092125125200633
75,7.68,8.282739085939339,0.27778560936445196
76,7.78,8.365035344952059,0.31484852859763385
77,7.88,8.42836980790821,0.2945964597075495
78,7.98,8.511293728926239,0.3367759998975758
79,8.08,8.573310125512132,0.3030074260644483
80,8.18,8.638198915223457,0.2859208252229543
81,8.28,8.70474936808175,0.2793043775953765
82,8.38,8.770012064618326,0.2755018798588599
83,8.48,8.843319415723359,0.29204616765512925
84,8.59,8.902314828560717,0.28318180325589276
85,8.69,8.998593478245738,0.38276143614480695
86,8.79,9.052303537851712,0.3622545552463967
87,8.89,9.100700053725244,0.2922396786433047
88,8.99,9.165549141704565,0.3152385675979705
89,9.09,9.22310517828363,0.30653430088398137
90,9.19,9.29544241203017,0.3656843928951149
91,9.29,9.358509082505867,0.3595836830149293
92,9.39,9.424649280709035,0.3864872279990634
93,9.49,9.481121997343319,0.3818031552389481
94,9.6,9.524452046774467,0.32893045925948866
95,9.7,9.607514611416175,0.43489456664732584
96,9.8,9.670344983549327,0.4799369315514049
97,9.9,9.702805794530416,0.3745873427958331
