,Voltage p2p (V),Magnetic Field p2p (nT),Magnetic Uncertainty (nT)
0,0.1,0.13076698045193325,0.015138737139887351
1,0.2,0.2553671123792901,0.010024870488142318
2,0.3,0.3802116175083816,0.009975552861875564
3,0.4,0.506245906248139,0.009675619643324907
4,0.5,0.6320795771883382,0.00939010209024317
5,0.6,0.7583758835753425,0.01778638560208941
6,0.7,0.8848240287755657,0.009740992650017193
7,0.8,1.0112862180481486,0.014078862827482582
8,0.9,1.1355627082363673,0.010103055816107277
9,1.0,1.2617422530080398,0.010022201054109316
10,1.1,1.3859913680489808,0.015762020417272996
11,1.2,1.5106369221934741,0.014933583955723693
12,1.3,1.634942257491069,0.015454529500845028
13,1.4,1.7606967133881737,0.015469166565952229
14,1.5,1.886910918694461,0.02763506616080254
15,1.6,2.0074652521192955,0.009417085977836458
16,1.7,2.131026279417111,0.009307003949577959
17,1.8,2.252902870970435,0.009580112721597141
18,1.9,2.3757968520927295,0.009036187565874794
19,1.98,2.4712810980454303,0.012053180572620855
20,2.08,2.5941411820082823,0.021410298624831292
21,2.18,2.7130896698619877,0.010018988715016408
22,2.28,2.8321554661120207,0.010484612579066152
23,2.38,2.951480342324133,0.010358476359554851
24,2.47,3.0691722997604223,0.010480661383057461
25,2.57,3.1867612487694768,0.015753988486244472
26,2.67,3.3043676169793637,0.009290040853018511
27,2.77,3.421311785596968,0.009715773189243151
28,2.87,3.5374219059705725,0.016155154966993313
29,2.97,3.653303926267534,0.010526880430329115
30,3.07,3.7673722082655465,0.010138573418286261
31,3.17,3.881455553002494,0.01683600901578788
32,3.27,3.9947821727892627,0.009634306600007787
33,3.37,4.1088143645296595,0.009704508358630437
34,3.47,4.223443655439822,0.0269587568880362
35,3.56,4.332366174080143,0.015361355115152306
36,3.66,4.444130497008289,0.016514508039193358
37,3.76,4.554097374755991,0.01753657968445581
38,3.86,4.6628424062967335,0.01524853585887517
39,3.96,4.772215810806217,0.016594951830581836
40,4.06,4.8794867355790705,0.010437280991117608
41,4.16,4.985746659718078,0.009916380438054751
42,4.26,5.092936834379088,0.017341625959262932
43,4.36,5.196596177730272,0.01527712826641122
44,4.46,5.302670612111111,0.01009982005855921
45,4.56,5.407893710341451,0.028568164177332593
46,4.66,5.50791106915569,0.015060985907803618
47,4.75,5.608903452019055,0.01579079254593868
48,4.85,5.7097096787473,0.008696232829486056
49,4.95,5.812225347004318,0.019517856243800633
50,5.05,5.909415781921859,0.009819189463266131
51,5.15,6.009558889634276,0.00881361345201986
52,5.25,6.106650125850654,0.014589901455195719
53,5.35,6.202910841352606,0.009020241272711237
54,5.45,6.305217944171352,0.07145243386358077
55,5.55,6.391607175891986,0.019670409937411718
56,5.55,6.486647785831728,0.009097189012630175
57,5.66,6.58062888008553,0.007431459276233103
58,5.74,6.675896248918419,0.013747241863872993
59,5.86,6.767967722953172,0.013187247068039091
60,5.94,6.855648018260691,0.013301788371369729
61,6.04,6.9457317535450285,0.010435539427032878
62,6.13,7.032745926130407,0.007865585714221357
63,6.24,7.124963079897078,0.03126403081216704
64,6.33,7.208243806581732,0.012575676561018507
65,6.43,7.294042835078652,0.013340769025294442
66,6.53,7.37788136681101,0.008599972225921052
67,6.62,7.462245274652762,0.013208914282610309
68,6.72,7.543708779350415,0.007446378311454283
69,6.81,7.6262651310070835,0.013379452441609962
70,6.91,7.7081713951734185,0.017439743365564118
71,7.04,7.786122438559514,0.014562796869845488
72,7.11,7.866071451555326,0.012883240969460209
73,7.22,7.942982306078795,0.00793530980134339
74,7.31,8.022042200100634,0.01822802480842747
75,7.42,8.093460262395498,0.02118492290827482
76,7.53,8.171051539854245,0.007415450956729826
77,7.63,8.244637105319134,0.01107807933128254
78,7.69,8.318813569649821,0.010557429562851443
79,7.8,8.389953711848399,0.012080887805781471
80,7.91,8.460223374991763,0.007196924744990354
81,8.01,8.530220564200658,0.012004937773037759
82,8.11,8.60313784393685,0.01724672145943576
83,8.18,8.674962687853174,0.06598668735662121
84,8.31,8.741310138036242,0.05297647305396605
85,8.39,8.802220240811314,0.007190396008975111
86,8.48,8.868234428324538,0.01325480554195049
87,8.59,8.933260721201805,0.0075862486590108505
88,8.66,8.997221046988784,0.00707503297857422
89,8.81,9.060905307038254,0.009926506499828763
90,8.9,9.122372581127074,0.008154162905112504
91,8.96,9.188836230628727,0.046740573248078635
92,9.09,9.243499979265168,0.00998491154318014
93,9.2,9.30689976799004,0.029073399975388294
94,9.25,9.36206057087108,0.007846625204345955
95,9.35,9.419188624548507,0.024443434024326503
96,9.46,9.486190783314418,0.06597524261593628
97,9.54,9.539278216086146,0.04337901482750148
98,9.64,9.593071101982929,0.010337397470619078
